Quote,Author
“Be yourself; everyone else is already taken.”,Oscar Wilde
“Be the change that you wish to see in the world.”,Mahatma Gandhi
“Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”,Martin Luther King Jr.
“Live as if you were to die tomorrow. Learn as if you were to live forever.”,Mahatma Gandhi
“We accept the love we think we deserve.”,Stephen Chbosky
"“Without music, life would be a mistake.”",Friedrich Nietzsche
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein
"“We are all in the gutter, but some of us are looking at the stars.”",Oscar Wilde
"“Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.”",Neil Gaiman
"“Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.”",Bill Keane
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison
“It is never too late to be what you might have been.”,George Eliot
“There is no greater agony than bearing an untold story inside you.”,Maya Angelou
“Everything you can imagine is real.”,Pablo Picasso
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis
“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw
"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling
"“Do what you can, with what you have, where you are.”",Theodore Roosevelt
"“Success is not final, failure is not fatal: it is the courage to continue that counts.”",Winston S. Churchill
"“So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.”",Stephen Chbosky
"“And, when you want something, all the universe conspires in helping you to achieve it.”",Paulo Coelho
"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon
"“It’s no use going back to yesterday, because I was a different person then.”",Lewis Carroll
“It's the possibility of having a dream come true that makes life interesting.”,Paulo Coelho
"“What you're supposed to do when you don't like a thing is change it. If you can't change it, change the way you think about it. Don't complain.”",Maya Angelou
"“A person's a person, no matter how small.”",Dr. Seuss
"“You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.”",Nicholas Sparks
“Well-behaved women seldom make history.”,Laurel Thatcher Ulrich
"“So we beat on, boats against the current, borne back ceaselessly into the past.”",F. Scott Fitzgerald
"“Nothing is impossible, the word itself says 'I'm possible'!”",Audrey Hepburn
“Do what you feel in your heart to be right – for you’ll be criticized anyway.”,Eleanor Roosevelt
"“I can't give you a sure-fire formula for success, but I can give you a formula for failure: try to please everybody all the time.”",Herbert Bayard Swope
"“Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.”",Margaret Mead
“Happiness is not something ready made. It comes from your own actions.”,Dalai Lama XIV
"“Do not read, as children do, to amuse yourself, or like the ambitious, for the purpose of instruction. No, read in order to live.”",Gustave Flaubert
“Peace begins with a smile..”,Mother Teresa
"“Friendship is unnecessary, like philosophy, like art.... It has no survival value; rather it is one of those things which give value to survival.”",C.S. Lewis
"“I hope she'll be a fool -- that's the best thing a girl can be in this world, a beautiful little fool.”",F. Scott Fitzgerald
“Who controls the past controls the future. Who controls the present controls the past.”,George Orwell
“May you live every day of your life.”,Jonathan Swift
"“Whatever you are, be a good one.”",Abraham Lincoln
